benchmark,solver,score
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_913.smt2,z3::z3_bv_eager,0.013
data/suite_500/QF_BV/20210219-Sydr/predicate_10592.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/20210219-Sydr/predicate_10592.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/20210219-Sydr/predicate_10592.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/20210219-Sydr/predicate_10592.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/20210219-Sydr/predicate_1361.smt2,cvc5::cvc5_bv_default,1.429
data/suite_500/QF_BV/20210219-Sydr/predicate_1361.smt2,cvc5::cvc5_bv_eager,0.781
data/suite_500/QF_BV/20210219-Sydr/predicate_1361.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/20210219-Sydr/predicate_1361.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/20210219-Sydr/predicate_1898.smt2,cvc5::cvc5_bv_default,0.056
data/suite_500/QF_BV/20210219-Sydr/predicate_1898.smt2,cvc5::cvc5_bv_eager,0.056
data/suite_500/QF_BV/20210219-Sydr/predicate_1898.smt2,z3::z3_bv_default,2.238
data/suite_500/QF_BV/20210219-Sydr/predicate_1898.smt2,z3::z3_bv_eager,2.611
data/suite_500/QF_BV/20210219-Sydr/predicate_1967.smt2,cvc5::cvc5_bv_default,0.147
data/suite_500/QF_BV/20210219-Sydr/predicate_1967.smt2,cvc5::cvc5_bv_eager,0.093
data/suite_500/QF_BV/20210219-Sydr/predicate_1967.smt2,z3::z3_bv_default,0.037
data/suite_500/QF_BV/20210219-Sydr/predicate_1967.smt2,z3::z3_bv_eager,0.046
data/suite_500/QF_BV/20210219-Sydr/predicate_2025.smt2,cvc5::cvc5_bv_default,1.843
data/suite_500/QF_BV/20210219-Sydr/predicate_2025.smt2,cvc5::cvc5_bv_eager,1.93
data/suite_500/QF_BV/20210219-Sydr/predicate_2025.smt2,z3::z3_bv_default,1.796
data/suite_500/QF_BV/20210219-Sydr/predicate_2025.smt2,z3::z3_bv_eager,2.596
